"method","RMSE","TrainVal"
"lm",36.6125260937534,"N/A"
"Regression Tree, Full data, CP=0",0,"N/A"
"Reg Tree Full data - pruned",35.441896643089,"cp=0.00253"
"Regression Tree, Train, CP=0",0,"N/A"
"Reg Tree - pruned; train/test",40.7576873587375,"cp=0.00707"
"randomForest",31.5614394158947,"N/A"
"randomForest trained",33.6049997188352,"mtry=2"
"randomForest, train/test",33.4975374405466,"N/A"
"trained Rborist",34.3222210337678,"predFixed=4 minNodes=2"
"4 model ensemble",34.9318738664448,"N/A"
"3 model (lm, rf, Rbor) ensemble",34.2160261055497,"N/A"
"random forest ensemble",33.895900737917,"N/A"
